data,variable,correlation_true,mutual_info,unpriv_prob_pos,unpriv_unbalance,priv_unbalance,statistical_parity,equal_opportunity,average_odds,skew_var,gini,simpson,shannon,ir,pos_prob
compas,c_charge_desc=Possession_of_Cannabis,0.0488074681289827,0.0012181173187594,0.5522875816993464,1.0035668151232962,0.4542772861356932,0.0,1.0,1.0,12.31848830022492,0.1121958278517182,8.543304442472388e-05,0.9987137089333002,0.0064383099677217,0.3022875816993464
compas,c_charge_desc=Possession_of_Cocaine,0.0894081370891562,0.0039779948122274,0.5638297872340425,1.0245402623485846,0.7338325391422735,0.0,0.0,1.0,2.99701060696555,0.1077619721118737,9.97500924701084e-05,0.998764271754412,0.0921093627476605,0.1599836333878886
compas,c_charge_desc=Possession_of_Ethylone,0.0446089916708338,0.0012990658436362,0.551219512195122,1.001626016260163,0.0,1.0,1.0,1.0,24.81934729198171,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.551219512195122
compas,c_charge_desc=Possession_of_Oxycodone,0.0057736808316232,1.658326056956823e-05,0.5504885993485342,1.000297867842764,0.9085545722713864,0.0,1.0,0.0,17.507002008593354,0.1123805718408784,8.488010563101136e-05,0.998710206488986,0.0031593690225611,0.0504885993485342
compas,c_charge_desc=Principal_In_The_First_Degree,0.0446089916708338,0.0012990658436362,0.551219512195122,1.001626016260163,0.0,1.0,1.0,1.0,24.81934729198172,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.551219512195122
compas,c_charge_desc=Prostitution,-0.0364504150230707,0.0009706349138429,0.5495934959349593,0.998671367244646,1.8171091445427727,1.0,1.0,0.0,24.81934729198172,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.4504065040650407
compas,c_charge_desc=Prostitution_Lewd_Act_Assignation,-0.0364504150230707,0.0009706349138429,0.5495934959349593,0.998671367244646,1.8171091445427727,1.0,1.0,0.0,24.81934729198172,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.4504065040650407
compas,c_charge_desc=Prowling_Loitering,0.0446089916708338,0.0012990658436362,0.551219512195122,1.001626016260163,0.0,1.0,1.0,0.0,24.81934729198172,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.551219512195122
compas,c_charge_desc=Purchase_Cannabis,-0.0515906319470849,0.0019434330861618,0.5488599348534202,0.9973384066953004,1.8171091445427727,1.0,1.0,0.0,17.507002008593354,0.1123805718408784,8.488010563101136e-05,0.998710206488986,0.0031593690225611,0.4511400651465798
compas,c_charge_desc=Resist_Officer_w_Violence,0.0894363875444603,0.0052157849199771,0.553921568627451,1.0065359477124185,0.0,0.0,1.0,1.0,12.31848830022492,0.1121958278517182,8.543304442472388e-05,0.9987137089333002,0.0064383099677217,0.553921568627451
compas,c_charge_desc=Resist_Obstruct_W_O_Violence,0.0273360430725118,0.0003717406022221,0.5515548281505729,1.0022353219491231,0.7268436578171092,1.0,1.0,1.0,10.990730522696634,0.1121034558571381,8.571084667540815e-05,0.998715320744411,0.0080858302134897,0.1515548281505728
compas,c_charge_desc=Robbery___No_Weapon,-0.0163609252962176,0.0001373086910378,0.5497553017944535,0.9989653861515732,1.2114060963618487,0.0,1.0,0.0,14.259310080841592,0.1122881998462983,8.51561306686513e-05,0.9987120137073364,0.0047961649919235,0.1169113648722131
compas,c_charge_desc=Robbery___Weapon,-0.0364504150230707,0.0009706349138429,0.5495934959349593,0.998671367244646,1.8171091445427727,1.0,1.0,0.0,24.81934729198171,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.4504065040650407
compas,c_charge_desc=Robbery_Sudd_Snatch_No_Weapon,-0.0163609252962176,0.0001373086910378,0.5497553017944535,0.9989653861515732,1.2114060963618487,1.0,0.0,1.0,14.259310080841596,0.1122881998462983,8.51561306686513e-05,0.9987120137073364,0.0047961649919235,0.1169113648722131
